Opzione,Valori Possibili,Costo Opzione,Macchine Compatibili,Vincoli,Posizioni Ammesse,Tipo Opzione
Computer,"Standard, AI",,"MCV0,MCV1,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""Standard""], ""MCV1"": [""Standard"", ""AI""], ""MCV2"": [""Standard""], ""MCV2XTR"": [""Standard""], ""MCV3"": [""Standard"", ""AI""], ""MCV4"": [""Standard"", ""AI""], ""MCV5"": [""Standard""], ""MCV6"": [""Standard"", ""AI""]}",,Globale
Dischi trasporto 20 MCV0,Seleziona,,MCV0,"{""MCV0"": [""Seleziona""]}",,Globale
Dischi trasporto 10 MCV1,Seleziona,,MCV1,"{""MCV1"": [""Seleziona""]}",,Globale
Dischi trasporto 10 MCV3,Seleziona,,MCV3,"{""MCV3"": [""Seleziona""]}",,Globale
Dischi trasporto 10 MCV4,Seleziona,,MCV4,"{""MCV4"": [""Seleziona""]}",,Globale
Dischi trasporto 20 MCV1,Seleziona,,MCV1,"{""MCV1"": [""Seleziona""]}",,Globale
Dischi trasporto 20 MCV3,Seleziona,,MCV3,"{""MCV3"": [""Seleziona""]}",,Globale
Dischi trasporto 30 MCV4,Seleziona,,MCV4,"{""MCV4"": [""Seleziona""]}",,Globale
Dischi trasporto 40 MCV1,Seleziona,,MCV1,"{""MCV1"": [""Seleziona""]}",,Globale
Dischi trasporto 40 MCV3,Seleziona,,MCV3,"{""MCV3"": [""Seleziona""]}",,Globale
Dischi trasporto 50 MCV4,Seleziona,,MCV4,"{""MCV4"": [""Seleziona""]}",,Globale
Dischi trasporto 70 MCV4,Seleziona,,MCV4,"{""MCV4"": [""Seleziona""]}",,Globale
Dischi trasporto 40 MCV0,Seleziona,,MCV0,"{""MCV0"": [""Seleziona""]}",,Globale
Taatiera,"US, DE, FR",,"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""US"", ""DE"", ""FR""], ""MCV1"": [""US"", ""DE"", ""FR""], ""MCV2"": [""US"", ""DE"", ""FR""], ""MCV2XTR"": [""US"", ""DE"", ""FR""], ""MCV3"": [""US"", ""DE"", ""FR""], ""MCV4"": [""US"", ""DE"", ""FR""], ""MCV5"": [""US"", ""DE"", ""FR""], ""MCV6"": [""US"", ""DE"", ""FR""]}",,Globale
Scivolo di carico,"Scivolo di carico unico, Nulla",,"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""Scivolo di carico unico"", ""Nulla""], ""MCV1"": [""Scivolo di carico unico"", ""Nulla""], ""MCV2"": [""Scivolo di carico unico"", ""Nulla""], ""MCV2XTR"": [""Scivolo di carico unico"", ""Nulla""], ""MCV3"": [""Scivolo di carico unico"", ""Nulla""], ""MCV4"": [""Scivolo di carico unico"", ""Nulla""], ""MCV5"": [""Scivolo di carico unico"", ""Nulla""], ""MCV6"": [""Scivolo di carico unico"", ""Nulla""]}",,Globale
Guide,"Nulla, Pesce aria, Browind aria, Pesce semplici, Brovind semplici, Vibranti",,"MCV0,MCV1,MCV3,MCV4","{""MCV0"": [""Pesce aria"", ""Vibranti""], ""MCV1"": [""Pesce aria"", ""Browind aria"", ""Pesce semplici"", ""Brovind semplici"", ""Vibranti""], ""MCV3"": [""Vibranti""], ""MCV4"": [""Pesce aria"", ""Pesce semplici"", ""Vibranti""]}",,Globale
Ottiche,"TC-36, TC-56, TC-80, M55, M25",,"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""TC-36"", ""TC-56""], ""MCV1"": [""TC-36"", ""TC-56"", ""TC-80"", ""M55"", ""M25""], ""MCV2"": [""TC-56"", ""TC-80"", ""M55""], ""MCV2XTR"": [""TC-80"", ""M55""], ""MCV3"": [""TC-56"", ""TC-80"", ""M55"", ""M25""], ""MCV4"": [""TC-56"", ""TC-80"", ""M55"", ""M25""], ""MCV5"": [""TC-36"", ""TC-56"", ""TC-80"", ""M55"", ""M25""], ""MCV6"": [""TC-36"", ""TC-56"", ""TC-80"", ""M55"", ""M25""]}","{""MCV0"": [""1"", ""2"", ""3"", ""4""], ""MCV1"": [""1"", ""3"", ""5""], ""MCV2"": [""1"", ""2""], ""MCV2XTR"": [""1"", ""2""], ""MCV3"": [""1"", ""3"", ""5""], ""MCV4"": [""3"", ""4"", ""5""], ""MCV5"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6""], ""MCV6"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]}",Stazione
Stazione controllo spigoli,Controllo spigoli,,"MCV1,MCV3","{""MCV1"": [""Controllo spigoli""], ""MCV3"": [""Controllo spigoli""]}","{""MCV1"": [""3""], ""MCV3"": [""3""]}",Stazione
Illuminatore,"Standard Ø100, Standard Ø80, Telecentrico 36, Telecentrico 56, Telecentrico 80",,"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""Standard Ø80"", ""Telecentrico 36"", ""Telecentrico 56""], ""MCV1"": [""Standard Ø100"", ""Standard Ø80"", ""Telecentrico 36"", ""Telecentrico 56"", ""Telecentrico 80""], ""MCV2"": [""Telecentrico 56"", ""Telecentrico 80""], ""MCV2XTR"": [""Telecentrico 80""], ""MCV3"": [""Standard Ø100"", ""Standard Ø80""], ""MCV4"": [""Standard Ø100"", ""Standard Ø80""], ""MCV5"": [""Standard Ø100"", ""Standard Ø80"", ""Telecentrico 36"", ""Telecentrico 56"", ""Telecentrico 80""], ""MCV6"": [""Standard Ø100"", ""Standard Ø80"", ""Telecentrico 36"", ""Telecentrico 56"", ""Telecentrico 80""]}","{""MCV0"": [""3"", ""4""], ""MCV1"": [""3"", ""5""], ""MCV2"": [""1"", ""2""], ""MCV2XTR"": [""1"", ""2""], ""MCV3"": [""3"", ""5""], ""MCV4"": [""3"", ""4"", ""5""], ""MCV5"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6""], ""MCV6"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]}",Stazione
Sensore scarto,"Induttivo, Laser",,"MCV0,MCV1,MCV3,MCV4","{""MCV0"": [""Induttivo"", ""Laser""], ""MCV1"": [""Induttivo"", ""Laser""], ""MCV3"": [""Induttivo"", ""Laser""], ""MCV4"": [""Induttivo"", ""Laser""]}",,Uscita
IBG,"Struttura Sonda, Struttura Forca, Struttura Bobina",{},"MCV0,MCV1,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""Struttura Sonda""], ""MCV1"": [""Struttura Sonda"", ""Struttura Forca""], ""MCV2"": [""Struttura Bobina""], ""MCV2XTR"": [""Struttura Bobina""], ""MCV3"": [""Struttura Sonda"", ""Struttura Forca"", ""Struttura Bobina""], ""MCV4"": [""Struttura Sonda"", ""Struttura Forca""], ""MCV5"": [""Struttura Forca"", ""Struttura Bobina""], ""MCV6"": [""Struttura Forca"", ""Struttura Bobina""]}","{""MCV0"": [""2""], ""MCV1"": [""1"", ""2"", ""3""], ""MCV2"": [""1""], ""MCV2XTR"": [""1""], ""MCV3"": [""1"", ""2"", ""3""], ""MCV4"": [""1"", ""2"", ""3""], ""MCV5"": [""3"", ""4""], ""MCV6"": [""3"", ""4""]}",Stazione
